"match","date","team_1","team_2","season","venue","toss_winner","toss_decision","is_superover","is_result","is_duckworthlewis","win_type","won_by","winner","mom","first_umpire","second_empire","city","host_country"
"411","25-Apr-14","Chennai Super Kings","Mumbai Indians","7","Dubai International Cricket Stadium","Mumbai Indians","bat","0","1","0","by wickets","7","Chennai Super Kings","MM Sharma","BF Bowden","M Erasmus","Abu Dhabi","U.A.E"
"412","26-Apr-14","Rajasthan Royals","Royal Challengers Bangalore","7","Sheikh Zayed Stadium","Rajasthan Royals","field","0","1","0","by wickets","6","Rajasthan Royals","PV Tambe","HDPK Dharmasena","C Shamshuddin","Abu Dhabi","U.A.E"
"413","26-Apr-14","Kolkata Knight Riders","Kings XI Punjab","7","Sheikh Zayed Stadium","Kolkata Knight Riders","field","0","1","0","by runs","23","Kings XI Punjab","Sandeep Sharma","HDPK Dharmasena","RK Illingworth","Abu Dhabi","U.A.E"
"414","27-Apr-14","Delhi Daredevils","Mumbai Indians","7","Sharjah Cricket Stadium","Mumbai Indians","bat","0","1","0","by wickets","6","Delhi Daredevils","M Vijay","Aleem Dar","VA Kulkarni","Abu Dhabi","U.A.E"
"415","27-Apr-14","Sunrisers Hyderabad","Chennai Super Kings","7","Sharjah Cricket Stadium","Sunrisers Hyderabad","bat","0","1","0","by wickets","5","Chennai Super Kings","DR Smith","AK Chaudhary","VA Kulkarni","Abu Dhabi","U.A.E"
"416","28-Apr-14","Kings XI Punjab","Royal Challengers Bangalore","7","Dubai International Cricket Stadium","Kings XI Punjab","field","0","1","0","by wickets","5","Kings XI Punjab","Sandeep Sharma","BF Bowden","S Ravi","Abu Dhabi","U.A.E"
"417","29-Apr-14","Kolkata Knight Riders","Rajasthan Royals","7","Sheikh Zayed Stadium","Rajasthan Royals","bat","1","1","0","Tie","NULL","Rajasthan Royals","JP Faulkner","Aleem Dar","AK Chaudhary","Abu Dhabi","U.A.E"
"418","30-Apr-14","Mumbai Indians","Sunrisers Hyderabad","7","Dubai International Cricket Stadium","Mumbai Indians","field","0","1","0","by runs","15","Sunrisers Hyderabad","B Kumar","HDPK Dharmasena","M Erasmus","Abu Dhabi","U.A.E"
"419","2-May-14","Chennai Super Kings","Kolkata Knight Riders","7","JSCA International Stadium Complex","Chennai Super Kings","bat","0","1","0","by runs","34","Chennai Super Kings","RA Jadeja","AK Chaudhary","NJ Llong","Ranchi","India"
"420","3-May-14","Mumbai Indians","Kings XI Punjab","7","Wankhede Stadium","Kings XI Punjab","bat","0","1","0","by wickets","5","Mumbai Indians","CJ Anderson","BNJ Oxenford","C Shamshuddin","Mumbai","India"
"421","3-May-14","Delhi Daredevils","Rajasthan Royals","7","Feroz Shah Kotla","Rajasthan Royals","field","0","1","0","by wickets","7","Rajasthan Royals","KK Nair","SS Hazare","S Ravi","Delhi","India"
